"activity","time","p","p_peak","p_smooth"
"Playing baseball",770,0.00016483796038749,0.353085203484585,0.36184378317648
"Playing baseball",775,0.000170581155926848,0.365387208198179,0.364319844245625
"Playing baseball",780,0.000174829453675017,0.374487121054109,0.361544509378816
"Playing baseball",785,0.000160950962000227,0.344759198884161,0.356486680885914
"Playing baseball",790,0.000163497408509524,0.350213722719472,0.346851666301823
"Playing baseball",795,0.000161335123099809,0.345582077301836,0.352305505949554
"Playing baseball",800,0.000168589343288428,0.361120717827354,0.359457146426554
"Playing baseball",805,0.000173513646669768,0.371668644150472,0.368152668709433
"Playing baseball",810,0.000173513646669768,0.371668644150472,0.36891434366594
"Playing baseball",815,0.000169656108010398,0.363405742696877,0.363243860281413
"Playing baseball",820,0.000165571844750922,0.354657193996888,0.353469051513502
"Playing baseball",825,0.000159823527192271,0.342344217846739,0.343135662481535
"Playing baseball",830,0.000155183668312192,0.332405575600978,0.337176115483235
"Playing baseball",835,0.000157225194460808,0.336778553001988,0.326436493834731
"Playing baseball",840,0.000144782137943429,0.310125352901228,0.326651643260741
"Playing baseball",845,0.000155484996084175,0.333051023879007,0.337274489376993
"Playing baseball",850,0.000172103033605854,0.368647091350745,0.364471572866285
"Playing baseball",855,0.000182873043990633,0.391716603369103,0.418444213881584
"Playing baseball",860,0.000231076439513861,0.494968946924904,0.489958359328859
"Playing baseball",865,0.000272262250911298,0.583189527692569,0.557987291461302
"Playing baseball",870,0.000278151041845395,0.595803399766431,0.587351662540671
"Playing baseball",875,0.000272202742647059,0.583062060163012,0.589436951627649
"Playing baseball",880,0.000275182804901015,0.589445394953502,0.629092948102043
"Playing baseball",885,0.000333691292567836,0.714771389189613,0.686502156193977
"Playing baseball",890,0.00035260727398349,0.755289684438816,0.736467415943041
"Playing baseball",895,0.000345161705964988,0.739341174200695,0.764229731102389
"Playing baseball",900,0.000372573834469946,0.798058334667656,0.770260280731963
"Playing baseball",905,0.000361053367089155,0.773381333327539,0.781272392615234
"Playing baseball",910,0.000360584731720383,0.772377509850506,0.777442130095579
"Playing baseball",915,0.00036720935596512,0.786567547108693,0.796149084162983
"Playing baseball",920,0.000387253412770208,0.829502195529751,0.811939099090089
"Playing baseball",925,0.000382699454988749,0.819747554631824,0.837093809346341
"Playing baseball",930,0.000402439813870388,0.86203167787745,0.831612155468525
"Playing baseball",935,0.000379576076230597,0.813057233896302,0.820310030128651
"Playing baseball",940,0.000366870250558635,0.785841178612201,0.798900828342269
"Playing baseball",945,0.000372455132089645,0.797804072518305,0.798973351599237
"Playing baseball",950,0.000379677648760184,0.813274803667205,0.816325638066351
"Playing baseball",955,0.000391173014999656,0.837898038013545,0.860099977624435
"Playing baseball",960,0.000433763332876758,0.929127091192554,0.886958848145798
"Playing baseball",965,0.000417294870252558,0.893851415231296,0.911925643651628
